procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  74780 63719312   6960 636532    0    0     0     4 1124   68  2  0 98  0  0
 1  0  74780 63719312   6960 636532    0    0     0     0 1078   66  2  0 98  0  0
 1  0  74780 63719312   6960 636532    0    0     0     0 1215  160  2  0 98  0  0
 1  0  74780 63719312   6960 636532    0    0     0     0 1093   72  2  0 98  0  0
 1  0  74780 63719312   6960 636532    0    0     0     0 1125   64  2  0 98  0  0
 1  0  74780 63719296   6960 636532    0    0     0     0 1095   68  2  0 98  0  0
 1  0  74780 63719296   6960 636532    0    0     0     4 1220  164  2  0 98  0  0
 1  0  74780 63719296   6960 636532    0    0     0     0 1074   62  2  0 98  0  0
 1  0  74780 63719296   6960 636532    0    0     0     0 1121   64  2  0 98  0  0
 1  0  74780 63719296   6960 636532    0    0     0     0 1074   64  2  0 98  0  0
 1  0  74780 63719296   6960 636532    0    0     0     0 1215  160  2  0 98  0  0
 1  0  74780 63719296   6960 636532    0    0     0     0 1080   64  2  0 98  0  0
 1  0  74780 63719296   6960 636532    0    0     0     4 1123   70  2  0 98  0  0
 1  0  74780 63719296   6960 636532    0    0     0    17 1110   90  2  0 98  0  0
 1  0  74780 63719296   6960 636532    0    0     0     0 1221  164  2  0 98  0  0
 1  0  74780 63719280   6960 636532    0    0     0     0 1095   64  2  0 98  0  0
 1  0  74780 63719280   6960 636532    0    0     0     0 1122   66  2  0 98  0  0
 1  0  74780 63719280   6960 636532    0    0     0     0 1079   68  2  0 98  0  0
 1  0  74780 63719280   6960 636532    0    0     0     4 1219  164  2  0 98  0  0
 1  0  74780 63719280   6960 636532    0    0     0     0 1075   62  2  0 98  0  0
 1  0  74780 63719280   6960 636532    0    0     0     0 1121   64  2  0 98  0  0
 1  0  74780 63719280   6960 636532    0    0     0     0 1074   64  2  0 98  0  0
 1  0  74780 63719280   6960 636532    0    0     0     0 1220  160  2  0 98  0  0
 1  0  74780 63719280   6960 636532    0    0     0     0 1100   76  2  0 98  0  0
 1  0  74780 63719280   6960 636532    0    0     0     8 1129   70  2  0 98  0  0
 1  0  74780 63719264   6960 636532    0    0     0     0 1115   84  2  0 98  0  0
 1  0  74780 63719264   6960 636532    0    0     0     0 1220  162  2  0 98  0  0
 1  0  74780 63719264   6960 636532    0    0     0     0 1074   62  2  0 98  0  0
 1  0  74780 63719264   6960 636532    0    0     0     0 1124   66  2  0 98  0  0
 1  0  74780 63719264   6960 636532    0    0     0     0 1076   66  2  0 98  0  0
 1  0  74780 63719264   6960 636532    0    0     0     4 1220  164  2  0 98  0  0
 1  0  74780 63719264   6960 636532    0    0     0     0 1077   62  2  0 98  0  0
 1  0  74780 63719264   6960 636532    0    0     0     0 1123   64  2  0 98  0  0
 1  0  74780 63719264   6960 636532    0    0     0     0 1090   74  2  0 98  0  0
 1  0  74780 63719264   6960 636532    0    0     0     0 1220  160  2  0 98  0  0
 1  0  74780 63719248   6960 636532    0    0     0     0 1093   66  2  0 98  0  0
 1  0  74780 63719248   6960 636532    0    0     0     4 1128   68  2  0 98  0  0
 1  0  74780 63719248   6960 636532    0    0     0     0 1071   64  2  0 98  0  0
 1  0  74780 63719248   6960 636532    0    0     0     0 1229  160  2  0 98  0  0
 1  0  74780 63719248   6960 636532    0    0     0     0 1081   62  2  0 98  0  0
 1  0  74780 63719248   6960 636532    0    0     0     0 1128   64  2  0 98  0  0
 1  0  74780 63719248   6960 636532    0    0     0     0 1082   66  2  0 98  0  0
 1  0  74780 63719248   6960 636532    0    0     0     4 1220  164  2  0 98  0  0
 1  0  74780 63719248   6960 636532    0    0     0     8 1101   82  2  0 98  0  0
 1  0  74780 63719248   6960 636532    0    0     0     0 1125   68  2  0 98  0  0
 1  0  74780 63719232   6960 636532    0    0     0     0 1094   66  2  0 98  0  0
 1  0  74780 63719232   6960 636532    0    0     0     0 1216  160  2  0 98  0  0
 1  0  74780 63719232   6960 636532    0    0     0     0 1078   66  2  0 98  0  0
 1  0  74780 63719232   6960 636532    0    0     0     4 1126   68  2  0 98  0  0
 1  0  74780 63719232   6960 636532    0    0     0     0 1074   64  2  0 98  0  0
 1  0  74780 63719232   6960 636532    0    0     0     0 1246  174  2  0 98  0  0
 1  0  74780 63719232   6960 636532    0    0     0     0 1077   64  2  0 98  0  0
 1  0  74780 63719232   6960 636532    0    0     0     0 1121   64  2  0 98  0  0
 1  0  74780 63719232   6960 636532    0    0     0     0 1095   76  2  0 98  0  0
 1  0  74780 63719232   6960 636532    0    0     0     4 1220  164  2  0 98  0  0
 1  0  74780 63719216   6960 636532    0    0     0     0 1095   64  2  0 98  0  0
 1  0  74780 63719216   6960 636532    0    0     0     0 1122   64  2  0 98  0  0
 1  0  74780 63719216   6960 636532    0    0     0     0 1078   64  2  0 98  0  0
 1  0  74780 63719216   6960 636532    0    0     0     0 1213  160  2  0 98  0  0
 1  0  74780 63719216   6960 636532    0    0     0     0 1080   64  2  0 98  0  0
 1  0  74780 63719216   6960 636532    0    0     0     4 1120   66  2  0 98  0  0
 1  0  74780 63719216   6960 636532    0    0     0     0 1075   62  2  0 98  0  0
 1  0  74780 63719216   6960 636532    0    0     0     0 1216  162  2  0 98  0  0
 1  0  74780 63719216   6960 636532    0    0     0     0 1095   72  2  0 98  0  0
 1  0  74780 63719216   6960 636532    0    0     0     0 1123   64  2  0 98  0  0
 1  0  74780 63719324   6960 636532    0    0     0     0 1093   66  2  0 98  0  0
 1  0  74780 63719324   6960 636532    0    0     0     4 1225  166  2  0 98  0  0
 1  0  74780 63719324   6960 636532    0    0     0     0 1072   62  2  0 98  0  0
 1  0  74780 63719324   6960 636532    0    0     0     0 1122   64  2  0 98  0  0
 1  0  74780 63719324   6960 636532    0    0     0     0 1073   62  2  0 98  0  0
 1  0  74780 63719324   6960 636532    0    0     0     0 1215  162  2  0 98  0  0
 1  0  74780 63719324   6960 636532    0    0     0     0 1078   64  2  0 98  0  0
 1  0  74780 63719324   6960 636532    0    0     0     8 1126   70  2  0 98  0  0
 1  0  74780 63719324   6960 636532    0    0     0     7 1095   80  2  0 98  0  0
 1  0  74780 63719324   6960 636532    0    0     0     0 1220  164  2  0 98  0  0
 1  0  74780 63719308   6960 636532    0    0     0     0 1097   66  2  0 98  0  0
 1  0  74780 63719308   6960 636532    0    0     0     0 1127   66  2  0 98  0  0
 1  0  74780 63719308   6960 636532    0    0     0     0 1072   64  2  0 98  0  0
 1  0  74780 63719308   6960 636532    0    0     0     4 1224  168  2  0 98  0  0
 1  0  74780 63719308   6960 636532    0    0     0     0 1073   62  2  0 98  0  0
 1  0  74780 63719308   6960 636532    0    0     0     0 1123   64  2  0 98  0  0
 1  0  74780 63719308   6960 636532    0    0     0     0 1072   62  2  0 98  0  0
 1  0  74780 63719308   6960 636532    0    0     0     0 1231  162  2  0 98  0  0
 1  0  74780 63719308   6960 636532    0    0     0     0 1096   74  2  0 98  0  0
 1  0  74780 63719308   6960 636532    0    0     0     4 1130   68  2  0 98  0  0
 1  0  74780 63719292   6960 636532    0    0     0     0 1108   76  2  0 98  0  0
 1  0  74780 63719292   6960 636532    0    0     0     0 1219  164  2  0 98  0  0
 1  0  74780 63719292   6960 636532    0    0     0     0 1078   64  2  0 98  0  0
 1  0  74780 63719292   6960 636532    0    0     0     0 1120   64  2  0 98  0  0
 1  0  74780 63719292   6960 636532    0    0     0     0 1079   66  2  0 98  0  0
 1  0  74780 63719292   6960 636532    0    0     0     4 1219  166  2  0 98  0  0
 1  0  74780 63719292   6960 636532    0    0     0     0 1074   62  2  0 98  0  0
 1  0  74780 63719292   6960 636532    0    0     0     0 1123   64  2  0 98  0  0
 1  0  74780 63719292   6960 636532    0    0     0     0 1091   72  2  0 98  0  0
 1  0  74780 63719292   6960 636532    0    0     0     0 1218  162  2  0 98  0  0
 2  0  74780 63717536   6960 636532    0    0     0     0 1090   65  2  0 98  0  0
 1  0  74780 63719276   6960 636532    0    0     0     4 1131   69  2  0 98  0  0
 1  0  74780 63719276   6960 636532    0    0     0     0 1074   62  2  0 98  0  0
 1  0  74780 63719276   6960 636532    0    0     0     0 1216  164  2  0 98  0  0
 1  0  74780 63719276   6960 636532    0    0     0     0 1089   73  2  0 98  0  0
 1  0  74780 63719276   6960 636532    0    0     0     0 1119   64  2  0 98  0  0
 1  0  74780 63719276   6960 636532    0    0     0     0 1096   78  2  0 98  0  0
 1  0  74780 63719276   6960 636532    0    0     0     4 1168  164  2  0 98  0  0
 1  0  74780 63719276   6960 636532    0    0     0    18 1146   78  2  0 98  0  0
 1  0  74780 63719276   6960 636532    0    0     0     1 1088   84  2  0 98  0  0
 2  0  74780 63719272   6960 636532    0    0     0     0 1132   67  2  0 98  0  0
 1  0  74780 63719260   6960 636532    0    0     0     0 1182  161  2  0 98  0  0
 1  0  74780 63719260   6960 636532    0    0     0     0 1128   66  2  0 98  0  0
 1  0  74780 63719260   6960 636532    0    0     0     4 1076   68  2  0 98  0  0
 1  0  74780 63719260   6960 636532    0    0     0     0 1123   64  2  0 98  0  0
 1  0  74780 63719260   6960 636532    0    0     0     0 1169  160  2  0 98  0  0
 1  0  74780 63721416   6960 633996    0    0     0     0 1281  108  2  0 98  0  0
 1  0  74780 63721416   6960 633996    0    0     0     0 1073   67  2  0 98  0  0
 1  0  74780 63721416   6960 633996    0    0     0     0 1145   78  2  0 98  0  0
 1  0  74780 63721416   6960 633996    0    0     0     4 1172  164  2  0 98  0  0
 1  0  74780 63721416   6960 633996    0    0     0     0 1124   64  2  0 98  0  0
 1  0  74780 63720416   6960 633996    0    0     0     0 1092   66  2  0 98  0  0
 1  0  74780 63720416   6960 633996    0    0     0     0 1122   64  2  0 98  0  0
 1  0  74780 63720416   6960 633996    0    0     0     0 1167  160  2  0 98  0  0
 1  0  74780 63720416   6960 633996    0    0     0     0 1129   66  2  0 98  0  0
 1  0  74780 63720416   6960 633996    0    0     0     8 1078   68  2  0 98  0  0
 1  0  74780 63720416   6960 633996    0    0     0     0 1121   64  2  0 98  0  0
