procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 115480 62530068   7804 947876    0    0 46754     0 7940 15139  2  0 97  0  0
 2  0 115480 62528556   7804 947876    0    0 46344   108 7945 15056  2  0 97  0  0
 1  1 115480 62526248   7804 947876    0    0 46042     0 7995 15102  2  0 97  0  0
 1  1 115480 62524240   7804 947876    0    0 46266     0 7955 15068  2  0 97  0  0
 1  1 115480 62522736   7804 947876    0    0 46376   118 7882 15002  2  0 97  0  0
 1  1 115480 62520720   7804 947876    0    0 46408     0 7915 15006  2  0 97  0  0
 1  1 115480 62519720   7804 947876    0    0 46180     0 7853 15018  2  0 97  0  0
 1  1 115480 62517856   7804 948408    0    0 46204     0 7915 15089  2  0 97  0  0
 2  1 115480 62516352   7804 948408    0    0 46160     0 7798 14891  2  0 97  0  0
 1  1 115480 62515972   7804 948408    0    0 46102     0 7971 15117  2  0 97  0  0
 1  1 115480 62514468   7804 948408    0    0 45914     0 7897 15120  2  0 97  0  0
 1  1 115480 62513460   7804 948408    0    0 45428     0 7874 14937  2  0 97  0  0
 1  1 115480 62512460   7804 948408    0    0 45644    10 7775 14816  2  0 97  0  0
 1  1 115480 62511452   7804 948408    0    0 46046     0 7916 15085  2  0 97  0  0
 1  1 115480 62510452   7804 948408    0    0 46042     0 7916 15096  2  0 98  0  0
 1  1 115480 62509948   7804 948408    0    0 45920     0 7934 15169  2  0 97  0  0
 1  1 115480 62509444   7804 948408    0    0 45892     2 7924 15142  2  0 97  0  0
 3  0 115480 62508312   7804 948804    0    0 45942     0 7977 15135  2  0 97  0  0
 1  0 115480 62507816   7804 948804    0    0 46382     0 7910 15175  2  0 97  0  0
 1  1 115480 62507312   7804 948804    0    0 46520   120 8445 15360  2  0 97  0  0
 1  1 115480 62506304   7804 948804    0    0 46316     0 8303 15384  2  0 97  0  0
 1  1 115480 62506056   7804 948804    0    0 47110   122 8090 15326  2  0 97  0  0
 1  1 115480 62505056   7804 948804    0    0 46628     0 8016 15273  2  0 97  0  0
 1  1 115480 62505056   7804 948804    0    0 46550     0 8086 15398  2  0 97  0  0
 1  1 115480 62504048   7804 948804    0    0 47230     0 7998 15271  2  0 97  0  0
 2  0 115480 62503544   7804 948804    0    0 46074     0 8001 15300  2  0 97  0  0
 1  1 115480 62503040   7804 948804    0    0 46410     0 7958 15272  2  0 97  0  0
 1  1 115480 62502568   7804 949156    0    0 46292    34 7998 15254  2  0 97  0  0
 1  1 115480 62502568   7804 949156    0    0 45890     0 7888 15072  2  0 97  0  0
 1  1 115480 62502104   7804 949176    0    0 45714     0 7981 15236  2  0 97  0  0
 2  0 115480 62502104   7804 949176    0    0 45534     0 7875 15146  2  0 97  0  0
 1  1 115480 62501608   7804 949232    0    0 46110     0 7998 15083  2  0 97  0  0
 2  1 115480 62500492   7804 949244    0    0 45770     0 7939 15001  2  0 97  0  0
 1  1 115480 62501364   7804 949244    0    0 46312     0 7961 15146  2  0 97  0  0
 1  1 115480 62500356   7804 949244    0    0 46202     4 7906 15022  2  0 97  0  0
 1  1 115480 62500356   7804 949244    0    0 45816     0 7912 14916  2  0 97  0  0
 1  1 115480 62500356   7804 949244    0    0 46012   112 7901 15043  2  0 97  0  0
 2  0 115480 62500016   7804 949168    0    0 45618     0 7963 15096  2  0 97  0  0
 1  1 115480 62500016   7804 949168    0    0 46066     0 7937 15126  2  0 97  0  0
 1  0 115480 62500016   7804 949168    0    0 46760   122 8065 15442  2  0 97  0  0
 1  1 115480 62500016   7804 949168    0    0 45852     0 7972 15185  2  0 97  0  0
 1  1 115480 62499016   7804 949168    0    0 46410     0 8268 15151  2  0 97  0  0
 1  1 115480 62499016   7804 949168    0    0 46306    25 7901 15029  2  0 97  0  0
 1  1 115480 62499016   7804 949168    0    0 46712     0 8066 15339  2  0 97  0  0
 1  1 115480 62498008   7804 949168    0    0 46650     0 8040 15363  2  0 97  0  0
 1  1 115480 62498008   7804 949168    0    0 46348     0 8009 15269  2  0 97  0  0
 1  1 115480 62498008   7804 949168    0    0 46830     0 8002 15266  2  0 97  0  0
 1  1 115480 62497636   7804 949460    0    0 46812     0 8033 15233  2  0 97  0  0
 2  0 115480 62497636   7804 949460    0    0 46570     0 8009 15368  2  0 97  0  0
